global,time,population_aged_0_14_years_male_percent,population_aged_0_14_years_female_percent
world,1950,35.0958,33.47615
world,1951,35.41724,33.81978
world,1952,35.72031,34.12582
world,1953,35.97084,34.3807
world,1954,36.1745,34.59584
world,1955,36.36145,34.79825
world,1956,36.77705,35.20529
world,1957,37.09913,35.53553
world,1958,37.3841,35.83344
world,1959,37.66183,36.11718
world,1960,37.92972,36.37978
world,1961,38.12011,36.57941
world,1962,38.35247,36.80279
world,1963,38.568,37.00177
world,1964,38.69234,37.11766
world,1965,38.70285,37.13498
world,1966,38.77984,37.22614
world,1967,38.71795,37.19413
world,1968,38.56721,37.08362
world,1969,38.39878,36.95428
world,1970,38.24463,36.83134
world,1971,38.15094,36.77049
world,1972,38.0415,36.68262
world,1973,37.91126,36.5668
world,1974,37.73525,36.4055
world,1975,37.49884,36.18758
world,1976,37.28305,35.97548
world,1977,36.99995,35.70424
world,1978,36.66639,35.38651
world,1979,36.31154,35.04462
world,1980,35.95619,34.69637
world,1981,35.61275,34.36598
world,1982,35.29627,34.05367
world,1983,34.9951,33.75159
world,1984,34.69548,33.45083
world,1985,34.39803,33.15344
world,1986,34.22211,32.97999
world,1987,34.03514,32.79448
world,1988,33.84425,32.60328
world,1989,33.64798,32.40316
world,1990,33.43679,32.18395
world,1991,33.32784,32.05972
world,1992,33.13693,31.85
world,1993,32.89614,31.58863
world,1994,32.6461,31.31853
world,1995,32.40222,31.05658
world,1996,32.07042,30.7039
world,1997,31.80128,30.41668
world,1998,31.54436,30.1439
world,1999,31.23276,29.81719
world,2000,30.84485,29.41429
world,2001,30.51051,29.07924
world,2002,30.09845,28.66379
world,2003,29.64719,28.20912
world,2004,29.22141,27.78291
world,2005,28.85429,27.41943
world,2006,28.54973,27.1165
world,2007,28.29119,26.86439
world,2008,28.0713,26.65435
world,2009,27.86744,26.46081
world,2010,27.6669,26.26955
world,2011,27.49844,26.11336
world,2012,27.32745,25.95371
world,2013,27.15697,25.79467
world,2014,26.99169,25.64246
world,2015,26.83188,25.49788
world,2016,26.68173,25.36957
world,2017,26.53352,25.24403
world,2018,26.3831,25.1171
world,2019,26.22399,24.98181
world,2020,26.05253,24.83401
world,2021,25.88875,24.69153
world,2022,25.71208,24.53677
world,2023,25.52336,24.3701
world,2024,25.32591,24.19451
world,2025,25.12215,24.0123
world,2026,24.93058,23.8409
world,2027,24.73473,23.66535
world,2028,24.53469,23.48541
world,2029,24.33099,23.3014
world,2030,24.12514,23.11473
world,2031,23.94522,22.95368
world,2032,23.76245,22.78945
world,2033,23.57951,22.62456
world,2034,23.39964,22.46191
world,2035,23.22462,22.3029
world,2036,23.0789,22.17269
world,2037,22.93611,22.04401
world,2038,22.79672,21.91738
world,2039,22.6603,21.79268
world,2040,22.52639,21.66956
world,2041,22.41616,21.56872
world,2042,22.30749,21.46956
world,2043,22.19978,21.37088
world,2044,22.09193,21.27068
world,2045,21.98305,21.16755
world,2046,21.8935,21.08445
world,2047,21.80157,20.99744
world,2048,21.70719,20.90688
world,2049,21.61048,20.81353
world,2050,21.51126,20.71735
world,2051,21.42778,20.63774
world,2052,21.34156,20.55579
world,2053,21.25197,20.47043
world,2054,21.1584,20.38039
world,2055,21.06054,20.28505
world,2056,20.97748,20.20585
world,2057,20.8902,20.12205
world,2058,20.79898,20.03395
world,2059,20.70451,19.94222
world,2060,20.60716,19.84705
world,2061,20.52453,19.76787
world,2062,20.44007,19.68687
world,2063,20.3533,19.60341
world,2064,20.26361,19.51655
world,2065,20.17068,19.42564
world,2066,20.09442,19.35262
world,2067,20.01529,19.27661
world,2068,19.93365,19.19777
world,2069,19.85013,19.11646
world,2070,19.76489,19.03251
world,2071,19.69594,18.96616
world,2072,19.62607,18.89864
world,2073,19.55461,18.829
world,2074,19.48077,18.75621
world,2075,19.40411,18.67974
world,2076,19.34344,18.62032
world,2077,19.28063,18.55842
world,2078,19.21542,18.49369
world,2079,19.14758,18.42572
world,2080,19.07665,18.3538
world,2081,19.01975,18.297
world,2082,18.96037,18.23751
world,2083,18.89834,18.17511
world,2084,18.83323,18.10909
world,2085,18.7642,18.03814
world,2086,18.70766,17.98141
world,2087,18.64905,17.92245
world,2088,18.58716,17.85961
world,2089,18.52099,17.79164
world,2090,18.4501,17.71807
world,2091,18.39298,17.66044
world,2092,18.33259,17.59917
world,2093,18.26878,17.53406
world,2094,18.20154,17.46496
world,2095,18.13066,17.39145
world,2096,18.07395,17.33454
world,2097,18.01515,17.2752
world,2098,17.95376,17.21274
world,2099,17.88934,17.14658
world,2100,17.82159,17.07635
